time,rsds_day_MIROC5_rcp85
2006-01-01 00:00:00+00:00,190.7289
2006-01-02 00:00:00+00:00,155.32278
2006-01-03 00:00:00+00:00,207.13031
2006-01-04 00:00:00+00:00,195.11217
2006-01-05 00:00:00+00:00,200.5801
2006-01-06 00:00:00+00:00,185.61308
2006-01-07 00:00:00+00:00,180.63863
2006-01-08 00:00:00+00:00,198.00351
2006-01-09 00:00:00+00:00,194.65889
2006-01-10 00:00:00+00:00,205.08777
2006-01-11 00:00:00+00:00,191.64226
2006-01-12 00:00:00+00:00,198.7507
2006-01-13 00:00:00+00:00,160.5755
2006-01-14 00:00:00+00:00,199.86441
2006-01-15 00:00:00+00:00,208.37714
2006-01-16 00:00:00+00:00,208.84193
2006-01-17 00:00:00+00:00,213.65405
2006-01-18 00:00:00+00:00,216.52936
2006-01-19 00:00:00+00:00,218.24452
2006-01-20 00:00:00+00:00,226.00587
2006-01-21 00:00:00+00:00,223.90906
2006-01-22 00:00:00+00:00,160.18517
2006-01-23 00:00:00+00:00,191.60628
2006-01-24 00:00:00+00:00,218.45099
2006-01-25 00:00:00+00:00,212.22173
2006-01-26 00:00:00+00:00,197.9613
2006-01-27 00:00:00+00:00,203.47832
2006-01-28 00:00:00+00:00,183.38318
2006-01-29 00:00:00+00:00,224.96416
2006-01-30 00:00:00+00:00,223.27785
2006-01-31 00:00:00+00:00,228.85793
2006-02-01 00:00:00+00:00,224.11375
2006-02-02 00:00:00+00:00,219.26271
2006-02-03 00:00:00+00:00,151.83937
2006-02-04 00:00:00+00:00,85.91268
2006-02-05 00:00:00+00:00,84.5508
2006-02-06 00:00:00+00:00,234.30255
2006-02-07 00:00:00+00:00,245.28732
2006-02-08 00:00:00+00:00,171.414
2006-02-09 00:00:00+00:00,159.41443
2006-02-10 00:00:00+00:00,175.16136
2006-02-11 00:00:00+00:00,172.16493
2006-02-12 00:00:00+00:00,242.56914
2006-02-13 00:00:00+00:00,246.92502
2006-02-14 00:00:00+00:00,232.00899
2006-02-15 00:00:00+00:00,204.02003
2006-02-16 00:00:00+00:00,256.4441
2006-02-17 00:00:00+00:00,221.27585
2006-02-18 00:00:00+00:00,130.41475
2006-02-19 00:00:00+00:00,149.25166
2006-02-20 00:00:00+00:00,247.0002
2006-02-21 00:00:00+00:00,254.82141
2006-02-22 00:00:00+00:00,107.597824
2006-02-23 00:00:00+00:00,116.77087
2006-02-24 00:00:00+00:00,189.15015
2006-02-25 00:00:00+00:00,240.02206
2006-02-26 00:00:00+00:00,271.23657
2006-02-27 00:00:00+00:00,216.58253
2006-02-28 00:00:00+00:00,142.07083
2006-03-01 00:00:00+00:00,138.83786
2006-03-02 00:00:00+00:00,302.50726
2006-03-03 00:00:00+00:00,285.42114
2006-03-04 00:00:00+00:00,168.14908
2006-03-05 00:00:00+00:00,221.21127
2006-03-06 00:00:00+00:00,275.66882
2006-03-07 00:00:00+00:00,311.1041
2006-03-08 00:00:00+00:00,243.2541
2006-03-09 00:00:00+00:00,295.79282
2006-03-10 00:00:00+00:00,300.708
2006-03-11 00:00:00+00:00,280.42517
2006-03-12 00:00:00+00:00,311.89175
2006-03-13 00:00:00+00:00,328.32416
2006-03-14 00:00:00+00:00,308.58942
2006-03-15 00:00:00+00:00,265.9639
2006-03-16 00:00:00+00:00,286.97583
2006-03-17 00:00:00+00:00,343.6356
2006-03-18 00:00:00+00:00,347.83313
2006-03-19 00:00:00+00:00,343.24945
2006-03-20 00:00:00+00:00,320.79
2006-03-21 00:00:00+00:00,289.06534
2006-03-22 00:00:00+00:00,297.11267
2006-03-23 00:00:00+00:00,355.43237
2006-03-24 00:00:00+00:00,344.9659
2006-03-25 00:00:00+00:00,285.95984
2006-03-26 00:00:00+00:00,269.30075
2006-03-27 00:00:00+00:00,264.1642
2006-03-28 00:00:00+00:00,375.59494
